District,Year,S.No,Size Group(HA),Total No. of Operational Holdings,Estimated No. of Holdings that took insititutional credit,No. of OH that took credit from PACS,No.of OH that took credit from PLDB/SLDB,No.of OH that took credit from CBB,No. of OH that took credit from RRBB,Amount of Credit through Short-Term Loans,Amount of credit through medium-term loans,Amount of credit through long-term loans,Amount of ST-Loans from PLDB/SLDB,Amount of MT-Loans from PLDB/SLDB,Amount of LT-Loans from PLDB/SLDB,Amount of ST-Loans from PAC/CBB,Amount of MT-Loans from PAC/CBB,Amount of LT-Loans from PAC/CBB,Amount of ST-Loans from RRBB,Amount of MT-Loans from RRBB,Amount of LT-Loans from RRBB,Total Amount of ST-Loans,Total Amount of MT-Loans,Total Amount of LT-Loans,Total_Loan_(ST+MT+LT),"In the ST-Loan, Value of the quanitity of fertiliser given","In ST-Loan, Value of quantity of other inputs","In ST-Loan, amoutn given in cash","In ST-Loan, Total",Total
nagaon,2011,2,SMALL (1.0 - 1.99),33433,8180,935,116,7832,701,5318886,0,0,0,701391,0,61137968,28055664,9351888,3711530,0,0,70168384,28757055,9351888,108277327,2454870,2337972,65375542,70168384,116
nagaon,2011,3,SEMI-MEDIUM (2.0 - 3.99),24641,8335,1020,218,6852,2041,8500415,0,0,0,911279,3207704,65211167,42465628,4374142,16585288,24786804,0,90296870,68163711,7581846,166042427,4665751,5052134,80578985,90296870,72
nagaon,2011,4,MEDIUM (4.0 - 9.99),8839,3129,366,0,2381,1144,2495987,0,0,0,0,0,15868981,23917967,7327668,11792966,11449481,0,30157934,35367448,7327668,72853050,4282106,1854816,24021012,30157934,91
nagaon,2011,5,LARGE (10 AND ABOVE),33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sibsagar,2011,1,MARGINAL (BELOW 1.0),53669,962,481,481,0,0,842338,0,0,0,6016704,0,0,0,0,0,0,0,842338,6016704,0,6859042,0,481336,361002,842338,1203
sibsagar,2011,2,SMALL (1.0 - 1.99),24068,2384,1300,1084,0,0,11296781,0,0,0,12684486,0,0,0,0,0,0,0,11296781,12684486,0,23981267,4553406,2840457,3902918,11296781,975
sibsagar,2011,3,SEMI-MEDIUM (2.0 - 3.99),15376,1622,1618,1103,441,0,70221971,0,0,0,13021779,0,7356,0,21585255,0,0,0,70229327,13021779,21585255,104836361,7540861,40132095,22556371,70229327,882
sibsagar,2011,4,MEDIUM (4.0 - 9.99),2654,1575,869,657,93,0,24801982,0,0,0,8451862,0,0,822035,7492265,0,0,0,24801982,9273897,7492265,41568144,7461732,10670020,6670230,24801982,187
sonitpur,2011,1,MARGINAL (BELOW 1.0),161036,34250,4807,2403,8412,19228,11116291,0,0,0,15022014,0,78114477,24035223,33649313,246361044,81118880,44314944,335591812,120176117,77964257,533732186,19829059,106355865,209406888,335591812,600
sonitpur,2011,2,SMALL (1.0 - 1.99),25891,8699,701,70,1964,5964,1754132,0,0,0,350826,0,23856205,8279506,14734715,97617489,51711834,11384321,123227826,60342166,26119036,209689028,6665704,44554972,72007150,123227826,70
sonitpur,2011,3,SEMI-MEDIUM (2.0 - 3.99),21292,6720,331,165,1327,5751,1216685,0,0,0,1216685,0,15761610,13687714,8572103,104247844,69682909,17268641,121226139,84587308,25840744,231654191,3981880,49220467,68023792,121226139,276
sonitpur,2011,4,MEDIUM (4.0 - 9.99),8984,4025,34,68,1170,2753,137685,0,0,0,946590,0,16866513,12236827,27812536,56855639,71424520,7977172,73859837,84607937,35789708,194257482,4646896,27881379,41331562,73859837,103
sonitpur,2011,5,LARGE (10 AND ABOVE),79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bongaigaon,2006,1,MARGINAL (BELOW 1.0),33424,3085,0,0,3085,0,0,0,0,0,0,0,11484143,72847179,0,0,0,0,11484143,72847179,0,84331322,857025,599917,10027201,11484143,342
bongaigaon,2006,2,SMALL (1.0 - 1.99),16838,1997,0,0,1541,592,0,0,0,0,0,0,0,44466549,0,0,69960704,0,0,114427253,0,114427253,0,0,0,0,236
bongaigaon,2006,3,SEMI-MEDIUM (2.0 - 3.99),4903,932,0,58,758,116,0,0,0,0,0,1459226,0,24806845,0,0,9922738,0,0,34729583,1459226,36188809,0,0,0,0,116
bongaigaon,2006,4,MEDIUM (4.0 - 9.99),1173,306,0,0,255,51,0,0,0,0,0,0,0,5100000,5151000,0,3315000,0,0,8415000,5151000,13566000,0,0,0,0,0
bongaigaon,2006,5,LARGE (10 AND ABOVE),68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bongaigaon,2016,1,MARGINAL (BELOW 1.0),59408,2546,849,424,0,1273,55503672,0,0,0,0,31698198,0,0,0,83255508,0,0,138759180,0,31698198,170457378,55503672,83255508,0,138759180,9760
bongaigaon,2016,2,SMALL (1.0 - 1.99),13554,747,0,107,213,427,0,0,0,0,7619061,0,20893108,0,0,29340743,0,0,50233851,7619061,0,57852912,0,6979488,43254363,50233851,4588
bongaigaon,2016,3,SEMI-MEDIUM (2.0 - 3.99),3544,462,0,77,154,231,0,0,0,0,4161341,1918296,14951153,0,0,18275583,3466800,0,33226736,7628141,1918296,42773173,0,0,33226736,33226736,950
bongaigaon,2016,4,MEDIUM (4.0 - 9.99),700,24,0,24,0,0,0,0,0,0,1779287,0,0,0,0,0,0,0,0,1779287,0,1779287,0,0,0,0,84
bongaigaon,2016,5,LARGE (10 AND ABOVE),14,11,0,11,0,0,0,0,0,0,79162,0,0,0,0,0,0,0,0,79162,0,79162,0,0,0,0,0
darrang,2006,1,MARGINAL (BELOW 1.0),51187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387
darrang,2006,2,SMALL (1.0 - 1.99),15003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125
darrang,2006,3,SEMI-MEDIUM (2.0 - 3.99),8618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
darrang,2006,4,MEDIUM (4.0 - 9.99),2192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
darrang,2006,5,LARGE (10 AND ABOVE),54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
darrang,2016,1,MARGINAL (BELOW 1.0),72707,6450,1173,586,4104,586,95457780,0,0,0,0,56289600,234540000,93816000,0,54530550,0,0,384528330,93816000,56289600,534633930,49253400,289070550,46204380,384528330,0
darrang,2016,2,SMALL (1.0 - 1.99),14217,2745,392,98,1667,588,47920369,0,0,0,8698898,0,81937542,20100250,25493000,34166307,14021150,0,164024218,42820298,25493000,232337516,0,86872300,77151917,164024217,0
darrang,2016,3,SEMI-MEDIUM (2.0 - 3.99),6542,1736,45,89,1291,312,4383250,0,0,0,4432734,4272000,51613726,11570000,36045000,16234134,4895000,2225000,72231110,20897734,42542000,135670844,0,35600000,36631110,72231110,45
darrang,2016,4,MEDIUM (4.0 - 9.99),1887,772,0,29,715,29,0,0,0,0,2024715,0,2287200,24301500,35451600,0,2144250,0,2287200,28470465,35451600,66209265,0,2287200,0,2287200,0
darrang,2016,5,LARGE (10 AND ABOVE),33,8,0,8,0,0,0,0,0,0,63335,0,0,0,0,0,0,0,0,63335,0,63335,0,0,0,0,0
dhubri,2006,1,MARGINAL (BELOW 1.0),80654,223,0,0,223,0,0,0,0,0,0,0,2010764,0,0,0,0,0,2010764,0,0,2010764,446836,1563928,0,2010764,892
dhubri,2006,2,SMALL (1.0 - 1.99),26565,194,0,0,194,0,0,0,0,0,0,0,875769,2919230,0,0,0,0,875769,2919230,0,3794999,145961,729808,0,875769,485
dhubri,2006,3,SEMI-MEDIUM (2.0 - 3.99),16947,65,0,0,65,0,0,0,0,0,0,0,0,3956498,0,0,0,0,0,3956498,0,3956498,0,0,0,0,390
dhubri,2006,4,MEDIUM (4.0 - 9.99),4610,124,0,0,124,0,0,0,0,0,0,0,1038288,5399099,0,0,0,0,1038288,5399099,0,6437387,0,0,1038288,1038288,246
dhubri,2006,5,LARGE (10 AND ABOVE),60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dhubri,2016,1,MARGINAL (BELOW 1.0),84619,9402,3232,1469,1469,3232,385140725,0,0,0,24382653,72279720,150091189,0,0,338519130,0,0,873751044,24382653,72279720,970413417,111063960,256504860,506182225,873751045,588
dhubri,2016,2,SMALL (1.0 - 1.99),25139,982,98,196,295,393,49365042,0,0,0,15358087,0,23485807,0,0,28122909,0,0,100973758,15358087,0,116331845,0,0,100973757,100973757,2062
dhubri,2016,3,SEMI-MEDIUM (2.0 - 3.99),12281,965,0,175,395,395,0,0,0,0,8443357,2697390,36718188,0,0,35176773,0,0,71894961,8443357,2697390,83035708,0,4254420,67640541,71894961,702
dhubri,2016,4,MEDIUM (4.0 - 9.99),2813,225,0,113,0,113,0,0,0,0,2300788,4613730,0,0,0,10915410,0,0,10915410,2300788,4613730,17829928,0,10915410,0,10915410,525
dhubri,2016,5,LARGE (10 AND ABOVE),10,10,0,10,0,0,0,0,0,0,76637,0,0,0,0,0,0,0,0,76637,0,76637,0,0,0,0,0
hailakandi,2006,1,MARGINAL (BELOW 1.0),51867,5143,0,0,4715,428,0,0,0,0,0,0,10716322,68584462,0,5229565,0,0,15945887,68584462,0,84530349,857305,857305,14231277,15945887,0
hailakandi,2006,2,SMALL (1.0 - 1.99),17506,1856,0,0,265,1591,0,0,0,0,0,0,0,6631060,0,29282763,0,0,29282763,6631060,0,35913823,3580772,3846015,21855976,29282763,265
hailakandi,2006,3,SEMI-MEDIUM (2.0 - 3.99),8003,571,0,0,0,571,0,0,0,0,0,0,0,0,0,6974042,0,0,6974042,0,0,6974042,857464,857464,5259114,6974042,0
hailakandi,2006,4,MEDIUM (4.0 - 9.99),750,375,0,0,0,375,0,0,0,0,0,0,0,0,0,11550000,0,0,11550000,0,0,11550000,1875000,1125000,8550000,11550000,0
hailakandi,2006,5,LARGE (10 AND ABOVE),29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hailakandi,2016,1,MARGINAL (BELOW 1.0),45052,484,0,0,0,484,0,0,0,0,0,0,0,0,0,47958570,0,0,47958570,0,0,47958570,0,47958570,0,47958570,0
hailakandi,2016,2,SMALL (1.0 - 1.99),16667,500,0,0,167,333,0,0,0,0,0,0,9174183,0,0,27485883,0,0,36660066,0,0,36660066,0,16500330,20159737,36660067,167
hailakandi,2016,3,SEMI-MEDIUM (2.0 - 3.99),6819,474,95,95,189,95,4735500,0,0,0,0,4801797,12237669,0,0,7951473,0,0,24924642,0,4801797,29726439,4735500,0,20189141,24924641,0
hailakandi,2016,4,MEDIUM (4.0 - 9.99),215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hailakandi,2016,5,LARGE (10 AND ABOVE),8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jorhat,2006,1,MARGINAL (BELOW 1.0),77827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401
jorhat,2006,2,SMALL (1.0 - 1.99),26328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128
jorhat,2006,3,SEMI-MEDIUM (2.0 - 3.99),13339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
jorhat,2006,4,MEDIUM (4.0 - 9.99),2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
jorhat,2006,5,LARGE (10 AND ABOVE),53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jorhat,2016,1,MARGINAL (BELOW 1.0),61661,3692,369,738,1846,1108,24036873,0,0,0,15882428,20603034,164356458,0,0,121230763,0,27692250,309624094,15882428,48295284,373801806,24036873,8861520,276725700,309624093,5538
jorhat,2016,2,SMALL (1.0 - 1.99),24347,1249,0,156,312,780,0,0,0,0,9358738,0,14311619,0,10924900,85834442,0,0,100146061,9358738,10924900,120429699,4682100,38393220,57070741,100146061,6242
jorhat,2016,3,SEMI-MEDIUM (2.0 - 3.99),14793,817,0,182,182,454,0,0,0,0,4915202,5063850,15032919,0,0,46784075,0,0,61816994,4915202,5063850,71796046,1633500,12251250,47932244,61816994,3450
jorhat,2016,4,MEDIUM (4.0 - 9.99),3329,192,0,32,0,160,0,0,0,0,3190437,0,0,0,0,4801500,1920600,5761800,4801500,5111037,5761800,15674337,960300,3841200,0,4801500,576
jorhat,2016,5,LARGE (10 AND ABOVE),91,20,0,20,0,0,0,0,0,0,142490,0,0,0,0,0,0,0,0,142490,0,142490,0,0,0,0,0
nagaon,2006,1,MARGINAL (BELOW 1.0),125772,11764,811,2434,1217,7302,6085741,0,0,0,28400129,0,16228645,4057161,0,69783174,9656043,2028580,92097560,42113333,2028580,136239473,0,0,92097560,92097560,4050
nagaon,2006,2,SMALL (1.0 - 1.99),43146,4833,0,1115,929,2789,0,0,0,0,10507538,0,2417663,5300262,2789612,24734560,4277405,0,27152223,20085205,2789612,50027040,0,0,27152223,27152223,1665
nagaon,2006,3,SEMI-MEDIUM (2.0 - 3.99),33920,4311,0,862,2012,1437,0,0,0,0,13711728,0,718644,12504406,4311864,5030508,7617627,1437288,5749152,33833761,5749152,45332065,718644,0,5030508,5749152,1144
nagaon,2006,4,MEDIUM (4.0 - 9.99),8170,1487,0,290,580,617,0,0,0,0,4139466,0,1016711,4756755,0,8387866,3304311,0,9404577,12200532,0,21605109,0,0,9404577,9404577,360
nagaon,2006,5,LARGE (10 AND ABOVE),70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
nagaon,2016,1,MARGINAL (BELOW 1.0),165157,5097,1019,0,2039,2039,66368799,0,0,0,0,0,88287834,101949000,0,132125904,0,0,286782537,101949000,0,388731537,66368799,132125904,88287834,286782537,0
nagaon,2016,2,SMALL (1.0 - 1.99),33428,1286,161,161,161,804,40109038,0,0,0,12478328,0,19082223,0,0,22850069,16071000,41784600,82041330,28549328,41784600,152375258,0,0,82041330,82041330,0
nagaon,2016,3,SEMI-MEDIUM (2.0 - 3.99),24423,1062,0,82,327,653,0,0,0,0,9016247,0,27575821,0,0,33020610,0,65344000,60596431,9016247,65344000,134956678,0,0,60596432,60596432,980
nagaon,2016,4,MEDIUM (4.0 - 9.99),8223,219,0,110,0,110,0,0,0,0,4601591,4078608,0,0,0,0,0,14253200,0,4601591,18331808,22933399,0,0,0,0,548
nagaon,2016,5,LARGE (10 AND ABOVE),30,15,0,15,0,0,0,0,0,0,126660,0,0,0,0,0,0,0,0,126660,0,126660,0,0,0,0,0
sibsagar,2006,1,MARGINAL (BELOW 1.0),72272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312
sibsagar,2006,2,SMALL (1.0 - 1.99),22749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117
sibsagar,2006,3,SEMI-MEDIUM (2.0 - 3.99),15377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
sibsagar,2006,4,MEDIUM (4.0 - 9.99),2577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
sibsagar,2006,5,LARGE (10 AND ABOVE),38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
sonitpur,2006,1,MARGINAL (BELOW 1.0),177609,1896,1264,0,0,632,6320604,0,0,0,0,0,0,0,0,0,12641209,0,6320604,12641209,0,18961813,0,0,6320604,6320604,632
sonitpur,2006,2,SMALL (1.0 - 1.99),41043,864,247,123,247,247,2101599,0,0,0,2472469,0,0,5192186,0,0,3708704,0,2101599,11373359,0,13474958,0,0,2101599,2101599,246
sonitpur,2006,3,SEMI-MEDIUM (2.0 - 3.99),21192,787,65,65,65,592,658136,0,0,0,329068,0,2632546,0,0,1316273,11583204,0,4606955,11912272,0,16519227,0,0,4606955,4606955,65
sonitpur,2006,4,MEDIUM (4.0 - 9.99),7981,495,70,0,106,319,1241488,0,0,0,0,0,0,2518448,0,709422,6491213,0,1950910,9009661,0,10960571,0,0,1950910,1950910,35
sonitpur,2006,5,LARGE (10 AND ABOVE),193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sonitpur,2016,1,MARGINAL (BELOW 1.0),164622,6199,1378,2066,0,2755,100012308,0,0,0,0,114063624,0,0,0,267250520,0,0,367262828,0,114063624,481326452,100012308,267250520,0,367262828,0
sonitpur,2016,2,SMALL (1.0 - 1.99),26585,1222,102,204,509,407,50329128,0,0,0,15657919,0,50302441,6111600,6111600,38552686,0,0,139184255,21769519,6111600,167065374,0,9880420,129303834,139184254,0
sonitpur,2016,3,SEMI-MEDIUM (2.0 - 3.99),21350,1026,0,128,513,385,0,0,0,0,10041549,0,40622660,4808250,4808250,36775419,0,0,77398079,14849799,4808250,97056128,961650,961650,75474780,77398080,128
sonitpur,2016,4,MEDIUM (4.0 - 9.99),8759,411,46,91,182,91,2737200,0,0,0,5889998,0,8728611,0,5018200,0,5474400,0,11465811,11364398,5018200,27848409,1596700,1140500,8728611,11465811,46
sonitpur,2016,5,LARGE (10 AND ABOVE),77,70,0,70,0,0,0,0,0,0,538341,0,0,0,0,0,0,0,0,538341,0,538341,0,0,0,0,0
patna,2016,1,MARGINAL (BELOW 1.0),632492,59720,25788,0,19002,14930,125982730,0,0,0,0,0,5849876800,0,0,307858250,0,0,6283717780,0,0,6283717780,74541818,200741712,6008434250,6283717780,154730
patna,2016,2,SMALL (1.0 - 1.99),40704,2078,0,0,1589,489,0,0,0,0,0,0,686932600,0,0,61115000,12223000,0,748047600,12223000,0,760270600,0,59892700,688154900,748047600,6723
patna,2016,3,SEMI-MEDIUM (2.0 - 3.99),11187,1119,0,0,932,186,0,0,0,0,0,0,482284000,0,0,46612500,0,0,528896500,0,0,528896500,0,50341500,478555000,528896500,2859
patna,2016,4,MEDIUM (4.0 - 9.99),715,70,0,0,70,0,0,0,0,0,0,0,24764800,0,0,0,0,0,24764800,0,0,24764800,0,0,24764800,24764800,488
patna,2016,5,LARGE (10 AND ABOVE),23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
durg,2011,1,MARGINAL (BELOW 1.0),274673,132308,129133,0,3175,0,1155892255,0,0,0,0,0,102936220,0,0,0,0,0,1258828475,0,0,1258828475,743180989,112343903,403303583,1258828475,9525
durg,2011,2,SMALL (1.0 - 1.99),101543,72870,69686,796,1592,796,1296133477,0,0,0,38427056,0,21904218,11946235,0,22697847,0,0,1340735542,50373291,0,1391108833,714063317,41752291,584919934,1340735542,6569
durg,2011,3,SEMI-MEDIUM (2.0 - 3.99),53258,38100,36628,526,631,315,1001395017,0,0,0,91043814,56836600,20208569,0,49468893,5262648,0,73677075,1026866234,91043814,179982568,1297892616,598003559,13261873,415600802,1026866234,4525
durg,2011,4,MEDIUM (4.0 - 9.99),20413,12560,11471,305,479,305,447329041,0,0,0,17228920,54739989,9762124,4361752,46234572,6542628,26170512,22681111,463633793,47761184,123655672,635050649,278186487,6763769,178683537,463633793,1263
durg,2011,5,LARGE (10 AND ABOVE),2668,874,778,0,19,77,31654748,0,0,0,0,0,194744,0,0,3310656,0,21811386,35160148,0,21811386,56971534,26367434,447912,8344802,35160148,308
raipur,2011,1,MARGINAL (BELOW 1.0),325902,184684,181474,0,4832,0,1706648372,0,0,0,0,0,24697680,7785138,0,0,0,0,1731346052,7785138,0,1739131190,1019929906,37567319,673848827,1731346052,4295
raipur,2011,2,SMALL (1.0 - 1.99),108712,87255,86033,0,1619,179,1917797750,0,0,0,0,0,44726708,5039629,0,12599072,0,0,1975123530,5039629,0,1980163159,1104138826,42530870,828453834,1975123530,3959
raipur,2011,3,SEMI-MEDIUM (2.0 - 3.99),52463,42342,41511,0,794,441,1572920405,0,0,0,0,0,23846818,883215,0,31795757,0,0,1628562980,883215,0,1629446195,936091567,38040091,654431322,1628562980,3091
raipur,2011,4,MEDIUM (4.0 - 9.99),17643,14538,14188,37,371,260,923568667,0,0,0,2228589,0,19463014,4457178,0,6500052,5571473,32314547,949531733,12257240,32314547,994103520,582377636,49270287,317883810,949531733,1745
raipur,2011,5,LARGE (10 AND ABOVE),1802,1370,1345,0,0,25,197249203,0,0,0,0,0,0,0,0,2538028,0,0,199787231,0,0,199787231,116527218,2436507,80823506,199787231,227
balrampur,2016,1,MARGINAL (BELOW 1.0),63530,4370,4370,0,0,0,135885267,0,0,0,0,0,0,0,0,0,0,0,135885267,0,0,135885267,23529800,50421000,61934467,135885267,0
balrampur,2016,1,MARGINAL (BELOW 1.0),63530,4370,4370,0,0,0,135885267,0,0,0,0,0,0,0,0,0,0,0,135885267,0,0,135885267,23529800,50421000,61934467,135885267,33286
balrampur,2016,2,SMALL (1.0 - 1.99),29645,4588,4412,0,0,176,110900522,0,0,0,0,0,0,0,0,705840,0,0,111606362,0,0,111606362,39174120,8823000,63609242,111606362,0
balrampur,2016,2,SMALL (1.0 - 1.99),29645,4588,4412,0,0,176,110900522,0,0,0,0,0,0,0,0,705840,0,0,111606362,0,0,111606362,39174120,8823000,63609242,111606362,4117
balrampur,2016,3,SEMI-MEDIUM (2.0 - 3.99),21175,3759,3634,0,0,125,83305078,0,0,0,0,0,0,0,0,8307390,0,0,91612468,0,0,91612468,30472960,6265000,54874508,91612468,0
balrampur,2016,3,SEMI-MEDIUM (2.0 - 3.99),21175,3759,3634,0,0,125,83305078,0,0,0,0,0,0,0,0,8307390,0,0,91612468,0,0,91612468,30472960,6265000,54874508,91612468,1673
balrampur,2016,4,MEDIUM (4.0 - 9.99),8099,2291,2078,0,213,0,74093033,0,0,0,0,0,1065600,0,0,0,0,0,75158633,0,0,75158633,32650410,5061600,37446623,75158633,0
balrampur,2016,4,MEDIUM (4.0 - 9.99),8099,2291,2078,0,213,0,74093033,0,0,0,0,0,1065600,0,0,0,0,0,75158633,0,0,75158633,32650410,5061600,37446623,75158633,566
balrampur,2016,5,LARGE (10 AND ABOVE),872,296,247,0,49,0,25086250,0,0,0,0,0,279650,0,0,0,0,0,25365900,0,0,25365900,11136650,1974000,12255250,25365900,181
balrampur,2016,5,LARGE (10 AND ABOVE),872,296,247,0,49,0,25086250,0,0,0,0,0,279650,0,0,0,0,0,25365900,0,0,25365900,11136650,1974000,12255250,25365900,7
durg,2016,1,MARGINAL (BELOW 1.0),88558,35273,35273,750,0,0,1058493347,0,0,0,1501,0,0,0,0,0,0,0,1058493347,1501,0,1058494848,234515367,12175950,811802031,1058493348,0
durg,2016,2,SMALL (1.0 - 1.99),29513,16828,16310,777,259,259,839673212,0,0,0,1553,0,0,58250250,0,20711200,0,0,860384412,58251803,0,918636215,462698305,0,397686107,860384412,0
durg,2016,3,SEMI-MEDIUM (2.0 - 3.99),12930,7918,7818,501,0,0,433120591,0,0,0,56129201,62142600,0,0,0,0,0,0,433120591,56129201,62142600,551392392,123854512,11398957,297867122,433120591,0
durg,2016,4,MEDIUM (4.0 - 9.99),4563,2776,2662,190,0,0,279751000,0,0,0,34379196,25632220,0,0,0,0,0,0,279751000,34379196,25632220,339762416,67276059,11408353,201066588,279751000,0
durg,2016,5,LARGE (10 AND ABOVE),564,152,130,22,0,0,21646620,0,0,0,15183000,0,0,0,0,0,0,0,21646620,15183000,0,36829620,8632620,0,13014000,21646620,174
raipur,2006,1,MARGINAL (BELOW 1.0),292602,43328,41869,0,973,486,223698854,0,0,0,0,0,0,0,48685856,0,0,19474342,223698854,0,68160198,291859052,33161884,12054131,178482839,223698854,0
raipur,2006,2,SMALL (1.0 - 1.99),100592,19474,18939,0,357,178,195549954,0,0,0,0,0,0,0,17867140,0,0,8933570,195549954,0,26800710,222350664,41333306,178671,154037977,195549954,0
raipur,2006,3,SEMI-MEDIUM (2.0 - 3.99),55267,11348,11053,0,197,98,171361452,0,0,0,0,0,0,0,8388741,0,0,4934553,171361452,0,13323294,184684746,40275332,296073,130790047,171361452,0
raipur,2006,4,MEDIUM (4.0 - 9.99),22041,4646,4504,0,95,47,126054107,0,0,0,0,0,0,0,4072793,0,0,2395760,126054107,0,6468553,132522660,31735781,790601,93527725,126054107,0
raipur,2006,5,LARGE (10 AND ABOVE),2441,484,467,0,17,0,20283151,0,0,0,0,0,0,0,865602,0,0,0,20283151,0,865602,21148753,5221662,0,15061489,20283151,17
raipur,2016,1,MARGINAL (BELOW 1.0),111568,52803,49396,1703,1703,2555,602931845,0,0,0,1703,1703,200991760,0,0,72391100,1703,1703,876314705,3406,3406,876321517,269587863,6387450,600339392,876314705,0
raipur,2016,2,SMALL (1.0 - 1.99),31507,19661,17896,756,504,1260,558767868,0,0,0,756,756,26085185,252,252,26214240,0,0,611067293,1008,1008,611069309,241262254,21425100,348379940,611067294,0
raipur,2016,3,SEMI-MEDIUM (2.0 - 3.99),13745,9833,9199,634,211,634,1460580335,0,0,0,846,634,8458400,10573000,0,108373250,0,0,1577411985,10573846,634,1587986465,703024357,18819940,855567689,1577411986,0
raipur,2016,4,MEDIUM (4.0 - 9.99),4793,3710,3587,93,186,93,291719687,0,0,0,155,155,35558000,10822000,0,14223200,0,0,341500887,10822155,155,352323197,122149089,2164400,217187398,341500887,0
raipur,2016,5,LARGE (10 AND ABOVE),622,485,455,0,0,30,97499562,0,0,0,0,0,0,0,0,4171750,0,0,101671312,0,0,101671312,51183277,682650,49805386,101671313,212
daman,2011,1,MARGINAL (BELOW 1.0),6036,646,0,0,646,0,0,0,0,0,0,0,538928,21557142,0,0,0,0,538928,21557142,0,22096070,0,0,538928,538928,646
daman,2011,2,SMALL (1.0 - 1.99),359,104,0,0,104,0,0,0,0,0,0,0,149583,3739583,0,0,0,0,149583,3739583,0,3889166,0,0,149583,149583,119
daman,2011,3,SEMI-MEDIUM (2.0 - 3.99),112,18,0,0,18,0,0,0,0,0,0,0,0,933333,0,0,0,0,0,933333,0,933333,0,0,0,0,55
daman,2011,4,MEDIUM (4.0 - 9.99),26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
daman,2011,5,LARGE (10 AND ABOVE),6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
daman,2006,1,MARGINAL (BELOW 1.0),4940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daman,2006,2,SMALL (1.0 - 1.99),486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
daman,2006,3,SEMI-MEDIUM (2.0 - 3.99),186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
daman,2006,4,MEDIUM (4.0 - 9.99),50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
